comment;ambiente;bondadesPlataforma;CbondadesPlataformaCcasosPrueba;CbondadesPlataformaCconocerErrores;CbondadesPlataformaCconsejosFormativos;CbondadesPlataformaCdisponibilidadLinea;CbondadesPlataformaCespacioTrabajo;CbondadesPlataformaCfacilidadUso;CbondadesPlataformaClenguajes;CbondadesPlataformaCPracticaconstante;CherramientasUNcodeCcustomInput;CherramientasUNcodeClinter;CherramientasUNcodeCpythonTutor;ClogrosPedagogicosCaprendizajeAutonomo;ClogrosPedagogicosCejerciciosEstimulantes;ClogrosPedagogicosCevalluacionEstimulante;ClogrosPedagogicosCEvaluacionOptimizada;ClogrosPedagogicosChabilidadesProgramacion;ClogrosPedagogicosCresolucionProblemas;CMejorableAprenderProgramarCfallasGenerales;CMejorableAprenderProgramarCinflexibilidad;CMejorableAprenderProgramarCobjetivoEducativo;CMejorableAprenderProgramarCretroalimentacionInsuficiente;CMejorableAprenderProgramarCsustituible;colab;HerramientasUNcode;logrosPedagogicos;MejorableAprenderProgramar
A traves de la plataforma pude ir practicando para mejorar las habilidades en programacion;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A traves de los ejercicios propuestos en la herramienta UNCode se pone a prueba lo aprendido en las clases de programacion, ayudando a validar los temas vistos con la practica que conlleva realizar ejercicios;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
A veces UNCode no dejaba correr por cosas triviales como un espacio, aunque ingresar entradas aqui era mas facil que ingrsarlas en Colaboratory;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
A veces es poco practico y da errores por cosas que no deberia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
A veces la pagina era muy lenta, y al principio de semestre no daba las correcciones pertinentes ni los inputs que no funcionaban. Sin embargo, los ejercicios eran utiles para ahondar en los temas.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
A veces no valoraba bien el porcentaje de el codigo correcto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Al poder probar y visualizar codigos me permitio comprender el funcionamiento y aplicar logica;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
Al principio Uncode presentaba bastantes fallos, a veces no ejecutaba bien los casos de prueba y otras veces era muy ineficiente a la hora de calificar;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1
Al utilizar esta plataforma evaluativa el estudiante podia conocer los errores en los procesos que se estaban efectuando, asimismo como se estaba ejecutando cada programa. Por lo cual se podia hacer una autocorreccion y de la misma forma mejorar;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0
Algunos de los casos  especiales  que evalua UNcode me llevo a ir mas alla de simplemente construir mi programa, pensar alguna solucion especifica para esos casos e interpretar de mejor forma los ejercicios.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0
Anteriormente realice un curso de programacion basica en otra institucion y note un gran contraste, me parece que el factor del juez agiliza mucho mas las cosas, la evaluacion es mucho mas objetiva y rapida, en lugar de que el docente o monitor deba revisar todos los codigos. Sin embargo, hablando no de los jueces sino de UNCode especificamente, debe mejorar bastante, a veces los estudiantes no podiamos trabajar en los talleres porque la plataforma estaba caida o tenia errores que resultaban parecer obstaculos para nosotros.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1
Aunque en momentos el servidor no se encuentre disponible, UNCode es una herramienta muy util para el aprendizaje de programacion.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1
Aunque es cierto que mostraba los casos de prueba, el tiempo era demasiado grande para su obtencion.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Aunque fue util, es facilmente suplantable por herramientas dadas en el curso como collab o la pagina oficial de python visualice.;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1
Aunque hay problemas en algunos casos con las salidas mostradas por la prueba y el visualizador, es practico forma de calificacion automatica de la plataforma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Aunque la plataforma brinda la posibilidad de verificar el codigo antes de probarlo y tambien en ocasiones muestra las lineas de codigo que contienen erro, seria bueno que la plataforma mostrara el procedimiento que realiza el codigo ademas de que seria bueno que seria bueno que se ensenara cuales son los items que se deben ingresar a una cierta funcion;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
Aunque la plataforma brinda la posibilidad de verificar el codigo antes de probarlo y tambien en ocasiones muestra las lineas de codigo que contienen erro, seria bueno que la plataforma mostrara el procedimiento que realiza el codigo ademas de que seria bueno que seria bueno que se ensenara cuales son los items que se deben ingresar a una cierta funcion.;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
Aunque posee herramientas de apoyo es dificil asegurar que ayude en el proceso de aprendizaje dada la presencia de problemas en la pagina  y de los apoyos que posee esta. Problemas como caida de la pagina y la no funcionalidad de algunos servicios con el probador de ejercicios y el Python tutor .;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1
Ayuda a retroalimentar los errores;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ayudo a saber los errores que se cometian en el codigo gracias a las respuestas, sin embargo pudo haber sido mejor en el hecho de explicar mejor algunos problemas;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Brinda un entorno amigable e intuitivo para aprender a programar, con herramientas que nos permiten revisar nuestros errores.;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Como cualquier editor de texto muestra los errores sintacticos, pero aparte corrige de manera discreta para hacer un codigo mas eficiente con los simbolos de la izquierda. Tambien permite probar el codigo y colocar de antemano lo que queremos colocar, para no tener que estar repitiendo el tedioso proceso de poner las entradas.;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Como plataforma virtual ayuda mucho si no tienes un editor de codigo en el PC;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Contiene buenas herramientas bien implementadas como lo es el probar codigo y visualizarlo;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Creo que los ejercicios propuestos, aunque parecen simplemente juegos que no tienen aplicacion practica nos ayudan a pensar como un programador y a desarrollar las habilidades que un buen programador necesita. Entonces creo que eso es bueno, en lugar de simplemente aprender por internet a hacer una pagina web o una aplicacion, pero sin desarrollar esas habilidades del pensamiento que nos forman para solucionar problemas y que creo que son la base de los ejercicios de UNcode. Ademas he visto que en UNcode tambien hay ejercicios practicos, como los de los inventarios por mencionar uno. Ademas el profesor cuando corrige los ejercicios en clase dice que esos algoritmos que usamos son utiles para resolver muchos problemas en nuestro futuro. Es decir, entiendo que uno usara esos algoritmos que usamos en UNcode en nuestro futuro profesional. Y finalmente, el juez me parece algo muy bueno porque nos hace pensar en todos los casos posibles al desarrollar un programa. Y eso creo que es una buena practica en la programacion. Pensar en todos los escenarios posibles.;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0
Daba la herramienta de ver el paso a paso del codigo y detectar mas facil los errores que uno tenia, sin embargo es pequena la ventana emergente deberia de poder manipularse o ser mas grande;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Debido a que es una buena herramienta para practicar y realizar ejercicios , ademas de poseer varias funciones utiles como son los casos de prueba o el tutor de python;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Debido a que es una herramienta que proporciona lo necesario para desarrollar los conocimientos de programacion.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
