comment;calificacion
"Permite ser mas consiente de que avance se ha tenido en el curso, tanto por la calificacion como por la reduccion de intentos necesarios, quiza eso sea un buen indicador de mejora en el aprendizaje";"De acuerdo"
"Porque la calificacion de casos era automatica y permitia tener una especie de retroalimentacion";"Totalmente de acuerdo"
"Las calificaciones son rapidas y los errores quedan facilmente a la vista";"Totalmente de acuerdo"
"Las correcciones fueron una parte importante para poder obtener todos los puntos del taller";"Algo de acuerdo"
"porque los califica de manera adecuada pero con algunos detalles de errores insignificantes";"De acuerdo"
"verifica el resultado del codigo, conforme lo exigido";"De acuerdo"
"Es util pero a veces por un salto de linea al final se tenia todo mal, aun asi el programa deja ver que cosas se tienen en comun y se puede corregir.";"De acuerdo"
"si, sin embargo el programa funcionaba y la plataforma decia que estab mal por un simple espacio";"De acuerdo"
"Si, pues la calificacion se demoraba unos segundos y permitia ver no solo que se tenia mal, como se espera que este bien y que parte del codigo se encuentra el error, si no tambien las entradas que se usarian para evaluar el codigo.";"Totalmente de acuerdo"
"La herramienta se encarga de revisar diferentes posibles casos de el programa realizado, y su sistema es bastante acertado";"De acuerdo"
"Si porque ejecutaba el programa y lo comparaba con las respuestas esperadas segun la entrada y asi daba un porcentaje de completado el programa.";"Totalmente de acuerdo"
"Si porque podia conocer si el ejercicio me estaba quedando bien o tenia algo mal";"De acuerdo"
"Por el metodo de calificacion que usa, que ejecuta varias y distintas pruebas.";"Totalmente de acuerdo"
"porque asignaba el porcentaje de codigo correcto automaticamente";"Totalmente de acuerdo"
"Es muy util";"De acuerdo"
"La calificacion de los ejercicios solia ser adecuada y conforme, pero habian ejercicios donde un espacio extra y caracteres de este tipo bajaban la nota final, aun cuando no fueran pedidos por el ejercicio. Es necesario especificar o corregir este tipo de cosas.";"De acuerdo"
"Se generaba calificacion al momento de presentar los ejercicios";"Totalmente de acuerdo"
"Genera facilidad y eficiencia";"Totalmente de acuerdo"
"Ya que casi nunca tenia errores en la calificacion, y en caso de presentarse algun inconveniente el docente siempre estaba atento a nuestros correos y corregia el problema rapidamente, eso si personalmente de vez en cuando no registra el submit y los datos se borran al cerrar la pestana.";"De acuerdo"
"Nos permitio ver la calificacion de los talleres realizados.";"De acuerdo"
"Pues a veces era dificil de entender";"De acuerdo"
"algunas veces presentaban errores, en los cuales uno se agobiaba sin saber que el error era de la plataforma y no del codigo";"Algo de acuerdo"
"La calificacion es entregada instantaneamente";"De acuerdo"
"Con los submits es muy sencillo hacer un ponderado de todas las actividades";"De acuerdo"
"La plataforma arroja errores por cosas como una mayuscula, un espacio o un salto de linea lo que es un poco molesto pero fuera de eso esta bien";"Algo de acuerdo"
"Muchas veces pese a que la respuesta fuera identica arrojaba errores";"Algo de acuerdo"
"Correcto ,calificaciones";"Totalmente de acuerdo"
"Si, porque si el programa estaba bien me mostraba un 100% lo cual representa una buena nota";"De acuerdo"
"Califica bien";"Algo de acuerdo"
"Porque compara de una manera eficiente los resultados que debian salir y los resultados que nos salieron a nosotros. Aclarando que cosas son las que nos quedaban mal o simplemente su todo estaba bien.";"De acuerdo"
"Da valoraciones y correcciones que permiten generar una calificacion de acuerdo al desempeno.";"Totalmente de acuerdo"
"En algunos momentos la pagina presentaba inconvenientes que se salian de nuestras manos";"De acuerdo"
"ES INTANTANEA";"De acuerdo"
"Aunque algunas veces no calificaba por un salto de linea de mas, en general funciona muy bien.";"De acuerdo"
"Muestra error en detalles muy minimos en un ejercicio";"Algo en desacuerdo"
"Es muy bueno que haya disponibles casos de prueba, de manera que se identifique fallos o faltas hasta los casos mas particulares.";"Totalmente de acuerdo"
"porque da la calificacion de una vez";"Totalmente de acuerdo"
".";"De acuerdo"
"Las calificaciones son instantaneas";"Totalmente de acuerdo"
"Me parece el principal uso de esta plataforma";"Totalmente de acuerdo"
"Por que la calificacion era muy rapida";"Totalmente de acuerdo"
"La respuesta era inmediatamente despues de subir el programa";"Totalmente de acuerdo"
"Se recibian inmediatamente los resultados";"Totalmente de acuerdo"
"principalmente ahorro tiempo con la nota de talleres";"De acuerdo"
"Sale de una vez la calificacion del trabajo realizado";"Totalmente de acuerdo"
"Facilito la rapidez con la que obteniamos las notas";"De acuerdo"
"Era automatico, fue util.";"De acuerdo"
"el semestre pasado tuve problemas con uncode, se me borro todo el progreso academico y el profesor no habia guardado notas, por tal razon tuve que cancelar la materi. no obstante este semestre no he tenido problemas";"Totalmente en desacuerdo"
"Me parece que es muy exigente calificando, ya que si no es 100 % el codigo con los parametros establecidos  no se tiene en cuenta el codigo asi tenga parte bien, para estar empezando a programar es algo duro calificando.";"Algo en desacuerdo"
"Utilizamos UNCode unicamente un par de ocasiones por lo que realmente no fue automatizada la calificacion de los laboratorios que desarrollamos. A la fecha, son pocas las notas que conocemos de esta asignatura.";"En desacuerdo"
"Se obtiene de forma inmediata.";"Totalmente en desacuerdo"
"El profesor se demoraba mucho calificando y pues con esta plataforma de una vez se sabia la nota";"Totalmente de acuerdo"
"Es una manera mas eficiente de poder calificar a la  hora de la entrega";"De acuerdo"
"Porque nos daba en cada ejercicio el porcentaje de efectividad, si fallabamos en un caso, etc.";"Totalmente de acuerdo"
"El manejo de porcentajes y casos solucionados da una idea de cual es la nota.";"Totalmente de acuerdo"
"Mostraba adecuadamente los porcentajes de los resultados correctos obtenidos en cada caso.";"De acuerdo"
"El profesor jamas califico, solamente se basaba en el porcentaje, sin embargo considero muy importante, que tengan en cuenta un modo de calificacion en porcentajes distintos. Uno para tareas, otro para talleres, parciales, y uno para quiz, de manera que sea mas sencillo saber como lleva el semestre tanto para alumno y maestro.";"De acuerdo"
"mide nuestro nivel";"Totalmente de acuerdo"
"La plataforma evalua el programa y permite saber cual fue su desempeno, pero en ocasiones la plataforma se caia y no permitia subir ningun programa.";"De acuerdo"
"El porcentaje que arroja la plataforma con respecto al progreso que se tiene en los casos correctos que el programa creado ejecuta es fiable para saber la nota.";"De acuerdo"
"Ese es su proposito, y lo logra de una manera sobresaliente.";"De acuerdo"
"por que califica con respecto al porcentaje obtenido en cada ejercicio de manera que es util para calificar los talleres";"De acuerdo"
"En los talleres, quices y parciales nos aparece el porcentaje que se tuvo bien y esto sirve para conocer la nota.";"Totalmente de acuerdo"
"Porque me permitia conocer el avance que tenia con respecto a las notas de talleres y quizes en tiempo real";"Totalmente de acuerdo"
"Uncode evalua de buena forma los ejercicios propuestos, pienso que es una buena herramienta en este aspecto, aparte de ahorrarle mucho tiempo al docente a la hora de revisar codigo por codigo";"Totalmente de acuerdo"
"Como da un feedback instantaneo es facil ver la calificacion automatica y deja que el desarrollo de actividades sea mas sencillo.";"Totalmente de acuerdo"
"Debido a que la plataforma le indica al estudiante su proceso.";"De acuerdo"
"Porque para completar UNcode se requiere que esten todos los casos bien, asi que es un buen sistema de calificacion";"Totalmente de acuerdo"
"Al ver el porcentaje de efectividad manejado en los talleres se correspondia al mismo sistema de evaluacion del profesor, pero cuando se resolvian parciales no aplicaba el mismo sistema de evaluacion";"Algo de acuerdo"
"Aunque la plataforma presento algunos problemas a lo largo del semestre, califica automaticamente";"De acuerdo"
"No tuve ningun problema con ninguno de los codigos enviados, se calificaban inmediatamente y daba el feedback al instante.";"Totalmente de acuerdo"
"El hecho de recibir una respuesta automatica me permitio poder editar mis programas la mayor cantidad de veces posible, lo cual me permite mejorar mis habilidades en la asignatura.";"Totalmente de acuerdo"
"Porque segun el porcentaje obtenido puedo tener una idea de mi nota";"Algo de acuerdo"
"Con el porcentaje se conoce la calificacion facilmente";"Totalmente de acuerdo"
"Su retroalimentacion inmediata daba pistas para resolver mejor el problema.";"Totalmente de acuerdo"
"Pues evalua de una forma muy eficiente las salidas a ciertos test, que estuvieron pensados para que al momento de realizar el programa, tengamos en cuenta que el programa funcione para las entradas que el profesor espesificase";"Totalmente de acuerdo"
"A pesar de las problematicas de la exactitud que buscaba la pagina, redujo el tiempo de calificacion puesto que nos daba la nota teniendo en cuenta el avance de los problemas.";"De acuerdo"
"corregia y entregaba la nota de cada ejercicio de manera inmediata";"Totalmente de acuerdo"
"Era muy eficiente a la hora de dar su calificacion una vez fue evaluado el programa.";"De acuerdo"
"Uncode evalua directamente los programas y da a conocer inmediatamente el porcentaje de aciertos.";"Totalmente de acuerdo"
"Me permite estar al tanto de mis calificaciones sin tener que recurrir a los profesores";"De acuerdo"
"A veces los casos no se aceptaban debido a detalles que no tenian que ver con la realizacion optima del codigo, es decir, el codigo a pesar de que cumplia con las tareas exigidas, este no se aceptaba por detalles que segun los enunciados no eran requeridos.";"Algo de acuerdo"
"Tienen varios casos, en donde se puede apreciar en detalle que errores tiene el codigo, ademas de especificar el tipo de error.";"De acuerdo"
"Porque la calificacion iba de acuerdo al porcentaje de aciertos del codigo, lo cual me parece correcto";"De acuerdo"
"Es mucho mas riguroso y optimo que la misma plataforma saque el acumulado de los ejercicios.";"Totalmente de acuerdo"
"Por que en algunos casos el programa si podia resolver el problema y algunos errores de impresion podian afectar negativamente, afectando totalmente la nota sin tener en cuneta que se llego a una solucion pertinente para el problema.";"Algo de acuerdo"
"porque no llego a presentar ningun error con respecto a la calificacion de estos y permitia obtener una calificacion rapida.";"Totalmente de acuerdo"
