comment;calificacion
"Resulta util pero en mi caso llego a ser una mala practica el enviar un codigo solo para saber que estaba mal en lugar de ponerme en la tarea de revisar el codigo por cuenta propia";"De acuerdo"
"Porque permite la visualizacion automatica de los errores en el codigo, y hace que la evaluacion de casos a resolver sea mas facil";"Totalmente de acuerdo"
"Por que te compara la salida esperada con la que tu das y eso lo hace mas facil";"Totalmente de acuerdo"
"Aveces  errores como  run time error  no realizaban  una correccion o una especificacion del error";"Algo de acuerdo"
"porque muestra el codigo del programa";"Totalmente de acuerdo"
"no se especificaba los posibles errores, solo mostraba los casos de error en la salida";"Algo de acuerdo"
"Es muy intuitiva entonces era facil saber las cosas que hacian falta  que habia que agregar.";"Totalmente de acuerdo"
"es una forma facil de identificar los errores y encontrar una mas pronta solucion";"De acuerdo"
"Porque permitia ver que salidas daba el programa frente a ciertas entradas en las cuales habia un error, lo cual, con un poco de intuicion y conocimiento del codigo se podia arreglar para que el mismo quedara sin errores algunos.";"Totalmente de acuerdo"
"El programa  especifica donde se encuentran los errores";"De acuerdo"
"Algunas veces no mostraba claramente donde se encontraba el problema";"De acuerdo"
"Si, ya que me indica mas o menos lo que podia tener mal";"De acuerdo"
"Porque muestra los errores explicitos.";"De acuerdo"
"la mayoria de veces son claras las correcciones, algunas veces no";"De acuerdo"
"Si fue muy util y tambien ayuda la herramienta the check your code";"De acuerdo"
"Como dije antes, habia errores que no era capaz de identificar, en parte porque no entendia el mensaje que la plataforma sacaba. Esto me confundia y entonces podia llegar a cometer errores donde no habian por este malentendido. Ya que no siempre era capaz de identificar los errores, tampoco podia saber como corregirlos.";"Algo de acuerdo"
"Nos ayudaba mediante los ejemplos de correccion a ver la parte que teniamos mal en el codigo";"Totalmente de acuerdo"
"Da una ayuda rapida y precisa";"Totalmente de acuerdo"
"ya que es muy util y concisa, muestra a la perfeccion cual es y donde se encuentra el error";"Totalmente de acuerdo"
"Si, ya que al presentar algun error se podia ver especificamente que estaba mal.";"De acuerdo"
"Era dificil de entender donde estaba el error y no daba descripcion detallada";"En desacuerdo"
"en si daba una guia pero muchas veces uno no tenia ni idea de porque botaba el error";"Algo de acuerdo"
"Permite conocer los aspecto a modificar de buena forma";"De acuerdo"
"Es util aunque en muchos casos dificil de entender";"Algo de acuerdo"
"la herramienta funciona bien en ese punto";"Totalmente de acuerdo"
"Cuando funcionaba, era facil de entender que partes debia corregir";"De acuerdo"
"Algunas veces mostraban bien el error";"De acuerdo"
"Nos ayuda a darnos cuenta de que estamos haciendo mal aunque aveces se vuelve fastidioso porque la impresion de mi programa debe ser exactamente igual a la de los ejemplos";"De acuerdo"
"A veces es poco funcional";"Algo de acuerdo"
"Como he dicho anteriormente, las herramientas que nos ofrece UNCode son una base esencial para nosotros los que aprendemos a programar, pues sin la ayuda de estas herramientas se nos dificultaria mucho mas resolver los problemas.";"Totalmente de acuerdo"
"Daba a entender el error aunque a veces la pagina era muy estricta y daba errores innecesarios.";"De acuerdo"
"Los mensajes que se mostraban cuando salia un error en el codigo eran facil de buscar en Internet y habian cientos de respuestas explicando el error";"De acuerdo"
"SABES EN QUE TE EQUIVOCASTE";"De acuerdo"
"Identifica los errores de forma asertiva.";"Totalmente de acuerdo"
"Si, aunque falta detallar un poco mas el tipo de error que se produce";"Algo de acuerdo"
"Me parecio una herramienta muy buena cuando la vi, sin embargo, no la use para mis ejercicios.";"De acuerdo"
"no es totalmente claro el error senalado";"Algo de acuerdo"
"Si es bastante ya que la misma plataforma tiene un apartado donde explica que significa cada mensaje que arroja al hacer funcionar el programa, sin embargo en mi caso era complicado identificar inmediatamente el problema especifico";"De acuerdo"
"Hay situaciones en las que no se entiende el error";"Algo de acuerdo"
"En algunos ejercicios no se sabe por que no completa el requerimiento del ejercicio y pueden ser detalles muy sencillos";"Algo en desacuerdo"
"Muchas veces no era muy claro cual era realmente el error";"Algo en desacuerdo"
"Uno lograba saber que tipo de error tenia el codigo, y al saber que error se tenia, uno se podia hacer una idea de que parte del codigo estaba mal";"De acuerdo"
"Se especificaba el tipo de error que se habia cometido";"De acuerdo"
"Realmente hay claridad dependiendo de las condiciones puestas por el profesor, aveces no fueron muy claras";"Algo de acuerdo"
"La plataforma daba los errores que tenia el codigo puesto";"De acuerdo"
"En si UNCode no daba las retroalimentaciones. Uno mismo debia pensar en los posibles errores.";"Algo en desacuerdo"
"A veces era muy vaga la explicacion del error, simplemente no era especifico.";"Algo en desacuerdo"
"si";"De acuerdo"
"Fue util";"De acuerdo"
"La retroalimentacion automatica ofrecida es basica y muchas veces no permite identificar facilmente el error que uno esta cometiendo";"Algo de acuerdo"
