comment;CmejorableRetroalimentacionCfallasFuncionamiento;CmejorableRetroalimentacionCorientacionInsuficiente;condicionesIniciales;CresolucionProblemasCcomparacionConSalidasEsperadas;CresolucionProblemasCcorregirErrores;CresolucionProblemasCespecificacionesRetroalimentacion;mejorableRetroalimentacion;resolucionProblemas;senalarErrores;calificacion
A partir de los errores obtenidos y las difierencias en las respuestas era posible inferir cuales eran los errores que se presentaban en el codigo y buscar la forma de arreglarlos.;0;0;0;0;1;0;0;1;1;De acuerdo
A pesar de que en algunas ocaciones no era clara la causa del error, en gran mayoria de los casos, esta si servia para revisar el codigo;0;0;0;0;0;1;0;1;0;De acuerdo
A pesar de que no siempre se conocian los errores proporcionaba una idea de en que parte de la solucion del problema estaba fallando, ademas de tambien ver las fallas en el sistema interactiva que tiene para visualizar la ejecucion del codigo.;0;0;0;0;0;1;0;1;0;De acuerdo
A veces era confuso, pero si se conocian los errores y lo que podia causarlos era de gran utilidad;0;1;0;0;1;0;1;1;1;De acuerdo
A veces era muy vaga la explicacion del error, simplemente no era especifico.;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
A veces es poco funcional;0;1;0;0;0;0;1;0;0;Algo de acuerdo
A veces los casos presentaban entradas demasiado largas y era casi imposible detectar el error, por ende era dificil saber que estaba mal.;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Ademas de los mensajes de errores segun la linea, el limite de 999 pasos en el tutor ayuda a optimizar codigo;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
Al dar las respuestas que deberian salir me daba una idea sobre el error del codigo;0;0;0;1;0;0;0;1;0;De acuerdo
Al obtener un fallo en el codigo se podia verificar las respuestas esperadas y las obtenidas para asi tener una comparacion;0;0;0;1;0;0;0;1;0;De acuerdo
Al obtener una salida erronea, el programa me mostraba lo esperado y lo obtenido, lo cual era muy util para corregir el programa. Tambien si salia TIME_LIMIT_EXCEEDED, sabia que debia modificar mi codigo para que no durara tanto.;0;0;0;1;1;1;0;1;0;De acuerdo
Al poder comparar los resultados esperados con los resultados obtenidos, se puede hacer un contraste que deja en evidencia las falencias en los programas codificados por cada estudiante, y en caso de que aun existan dudas en cuanto a los errores cometidos, la herramienta  Python tutor  permite a todos los estudiantes ver el paso a paso de cada codigo programado;0;0;0;1;0;1;0;1;0;Totalmente de acuerdo
Al saber los casos especificos en donde fallaba el codigo era de mucha ayuda ya que permitia corregir el error mas rapido y facil.;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Al ver en donde estaba el error era mas facil encontrar la solucion;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Algunas veces la retroalimentacion de UNCode no es muy especifica en cuanto a tiempos de ejecucion.;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Algunas veces mostraban bien el error;0;0;0;0;0;0;0;0;1;De acuerdo
Aunque UNcode muestra los errores que presento el programa, son demasiado generales. Estan clasificados en categorias, por lo que varias veces tuve que recurrir a otras herramientas para comprobar cual fue era el error (nombre del error).;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Ayuda a encontrar en que esta fallando el problema del programa, es buena herramienta la comparacion de la salida esperada y la salida que esta dando el programa que uno ingreso.;0;0;0;1;0;0;0;1;1;Totalmente de acuerdo
Como dije antes, habia errores que no era capaz de identificar, en parte porque no entendia el mensaje que la plataforma sacaba. Esto me confundia y entonces podia llegar a cometer errores donde no habian por este malentendido. Ya que no siempre era capaz de identificar los errores, tampoco podia saber como corregirlos.;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Como he dicho anteriormente, las herramientas que nos ofrece UNCode son una base esencial para nosotros los que aprendemos a programar, pues sin la ayuda de estas herramientas se nos dificultaria mucho mas resolver los problemas.;0;0;0;0;0;0;0;1;0;Totalmente de acuerdo
Como mencione antes, permite tener pistas o indicios de donde esta el fallo. A veces podia ser un espacio extra al final de una impresion, un error sintactico y la herramienta nos permitia descubrirlos mas facilmente.;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
Con los casos de prueba es dificil porque no sabes que tienes mal, y no te muestra;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Con los ejemplos podia darme cuenta de lo que estaba fallando en mi codigo;0;0;0;0;0;1;0;1;0;De acuerdo
Con un poco de tiempo se lograba entender facilmente el error que remarcaba la plataforma aunque unicamente fuera la linea y una breve descripcion, pero he de decir que esto tambien ayudaba a aprender a localizar los errores por uno mismo;0;1;0;0;0;0;1;0;1;Totalmente de acuerdo
Conociendo los casos donde el codigo no funciona a era sencillo cambiarlo;0;0;0;0;1;0;0;1;0;De acuerdo
